anio_tri,anio,trimestre,variacion trimestral ingresos (miles de pesos),ingresos (miles de pesos),periodo
20131,2013,1,0.0,13135235,Ene-Mar 2013
20132,2013,2,0.06361294639951254,13970806,Abr-Jun 2013
20133,2013,3,0.09053543510660722,15235659,Jul-Sept 2013
20134,2013,4,0.06453196412442685,16218846,Oct-Dic 2013
20141,2014,1,-0.017294263722585468,15938353,Ene-Mar 2013
20142,2014,2,0.10933494822206535,17680972,Abr-Jun 2014
20143,2014,3,0.07324716084613447,18976053,Jul-Sept 2014
20144,2014,4,0.05460982850332474,20012332,Oct-Dic 2014
20151,2015,1,-0.033728702881803074,19337342,Ene-Mar 2015
20152,2015,2,0.03144749676558445,19945453,Abr-Jun 2015
20153,2015,3,0.09224082300863268,21785238,Jul-Sept 2015
20154,2015,4,0.14214804538743153,24881967,Oct-Dic 2015
20161,2016,1,-0.004779163962398969,24763052,Ene-Mar 2016
20162,2016,2,0.023862930950514505,25353971,Abr-Jun 2016
20163,2016,3,0.08133660798144793,27416177,Jul-Sept 2016
20164,2016,4,0.09946886467796001,30143233,Oct-Dic 2016
20171,2017,1,0.035242802256811645,31205565,Ene-Mar 2017
20172,2017,2,0.07382333888202308,33509264,Abr-Jun 2017
20173,2017,3,0.06572585419960286,35711689,Jul-Sept 2017
20174,2017,4,0.06715837495112598,38110028,Oct-Dic 2017
20181,2018,1,0.016371491513992087,38733946,Ene-Mar 2018
20182,2018,2,0.04955746052829224,40653502,Abr-Jun 2018
20183,2018,3,0.06460912026717902,43280089,Jul-Sept 2018
20184,2018,4,0.01725306063950094,44026803,Oct-Dic 2018
20191,2019,1,0.14127503193906676,50246691,Ene-Mar 2019
20192,2019,2,0.10134249437440568,55338816,Abr-Jun 2019
20193,2019,3,0.10059982128999656,60905891,Jul-Sept 2019
20194,2019,4,0.07360455493541673,65388842,Oct-Dic 2019
20201,2020,1,0.10228511157912834,72077147,Ene-Mar 2020
20202,2020,2,0.020281005295617494,73538944,Abr-Jun 2020
20203,2020,3,0.08289228357698475,79634755,Jul-Sept 2020
20204,2020,4,0.04827488952530845,83479114,Oct-Dic 2020
20211,2021,1,0.11539460037872473,93112153,Ene-Mar 2021
20212,2021,2,0.12533129805300502,104782020,Abr-Jun 2021
20213,2021,3,0.12377987177571104,117751925,Jul-Sept 2021
20214,2021,4,0.08184886149419635,127389786,Oct-Dic 2021
20221,2022,1,0.024059150236738658,130454676,Ene-Mar 2022
20222,2022,2,0.17306882123566036,153032313,Abr-Jun 2022
20223,2022,3,0.13739270215434818,174057836,Jul-Sept 2022
