anio_tri,anio,trimestre,variacion trimestral ingresos (miles de pesos),ingresos (miles de pesos),periodo
20141,2014,1,0.0,2984054,Ene-Mar 2014
20142,2014,2,0.09609812691057207,3270816,Abr-Jun 2014
20143,2014,3,0.06353827301810933,3478638,Jul-Sept 2014
20144,2014,4,0.13562865696286885,3950441,Oct-Dic 2014
20151,2015,1,0.2343900339227949,4876385,Ene-Mar 2015
20152,2015,2,-0.03580398184310718,4701791,Abr-Jun 2015
20153,2015,3,0.09612252012052425,5153739,Jul-Sept 2015
20154,2015,4,0.04330060175728723,5376899,Oct-Dic 2015
20161,2016,1,0.10413920737584981,5936845,Ene-Mar 2016
20162,2016,2,0.10062516370226948,6534241,Abr-Jun 2016
20163,2016,3,0.057879866996028984,6912442,Jul-Sept 2016
20164,2016,4,0.08268250207379668,7483980,Oct-Dic 2016
20171,2017,1,0.16264353993463376,8701201,Ene-Mar 2017
20172,2017,2,0.11233460760187008,9678647,Abr-Jun 2017
20173,2017,3,0.04002119304485441,10065998,Jul-Sept 2017
20174,2017,4,0.1152522581466835,11226127,Oct-Dic 2017
20181,2018,1,0.17328612085004913,13171459,Ene-Mar 2018
20182,2018,2,0.08715875743150403,14319467,Abr-Jun 2018
20183,2018,3,0.07622588187116186,15410981,Jul-Sept 2018
20184,2018,4,0.07959947520537458,16637687,Oct-Dic 2018
20191,2019,1,0.21455668687600626,20207414,Ene-Mar 2019
20192,2019,2,0.026510269943496922,20743118,Abr-Jun 2019
20193,2019,3,0.04385213447660097,21652748,Jul-Sept 2019
20194,2019,4,0.11622095264767318,24169251,Oct-Dic 2019
20201,2020,1,0.2390212671464249,29946216,Ene-Mar 2020
20202,2020,2,0.07200442286264153,32102476,Abr-Jun 2020
20203,2020,3,-0.003271741407111395,31997445,Jul-Sept 2020
20204,2020,4,0.04819941092171587,33539703,Oct-Dic 2020
20211,2021,1,0.0935210428070874,36676371,Ene-Mar 2021
20212,2021,2,0.042624064414660934,38239667,Abr-Jun 2021
20213,2021,3,0.1244853152094656,42999944,Jul-Sept 2021
20214,2021,4,0.0573940980016161,45467887,Oct-Dic 2021
20221,2022,1,0.2226210775970301,55589997,Ene-Mar 2022
20222,2022,2,0.08537016111010054,60335724,Abr-Jun 2022
20223,2022,3,0.11138021647009655,67055930,Jul-Sept 2022
