anio_tri,provincia,ingresos (en miles de pesos)
20141,Buenos Aires,430638.06371177227
20142,Buenos Aires,476259.9948707799
20143,Buenos Aires,522067.7727329894
20144,Buenos Aires,585980.0120228288
20151,Buenos Aires,726938.7232237584
20152,Buenos Aires,706258.0945712208
20153,Buenos Aires,786275.4976917934
20154,Buenos Aires,828853.3868351807
20161,Buenos Aires,900254.2523053746
20162,Buenos Aires,1025402.7378743745
20163,Buenos Aires,1099377.1507460198
20164,Buenos Aires,1212047.3395222882
20171,Buenos Aires,1347740.27726983
20172,Buenos Aires,1440268.1208685592
20173,Buenos Aires,1480872.5469710971
20174,Buenos Aires,1710328.7992422879
20181,Buenos Aires,2181564.60329041
20182,Buenos Aires,2377387.3453353527
20183,Buenos Aires,2626259.274525467
20184,Buenos Aires,2842348.0057526203
20191,Buenos Aires,3539833.584152638
20192,Buenos Aires,3721994.030440821
20193,Buenos Aires,3971676.69297714
20194,Buenos Aires,4106653.9311338686
20201,Buenos Aires,5094567.098724225
20202,Buenos Aires,5536956.438954063
20203,Buenos Aires,5725310.926554211
20204,Buenos Aires,6118348.136974227
20211,Buenos Aires,6703151.459595668
20212,Buenos Aires,7078869.7922637705
20213,Buenos Aires,8151127.172792822
20214,Buenos Aires,9097517.324602356
20221,Buenos Aires,11184560.85599228
20222,Buenos Aires,12378729.87645961
20223,Buenos Aires,13851461.852312235
20224,Buenos Aires,11309905.392904919
20231,Buenos Aires,12821630.316197282
20232,Buenos Aires,14375893.467813034
20141,Capital Federal,498767.86970778625
20142,Capital Federal,551033.153047853
20143,Capital Federal,589463.5292450538
20144,Capital Federal,675882.2634234455
20151,Capital Federal,834302.3300750824
20152,Capital Federal,812622.3183831298
20153,Capital Federal,907770.1415321418
20154,Capital Federal,945796.1108110364
20161,Capital Federal,1018035.2308969578
20162,Capital Federal,1167956.2532735625
20163,Capital Federal,1243071.20882161
20164,Capital Federal,1344291.2975583177
20171,Capital Federal,1404086.0210743293
20172,Capital Federal,1787935.5863844203
20173,Capital Federal,1826515.8896801018
20174,Capital Federal,2054410.731784448
20181,Capital Federal,2083662.55642903
20182,Capital Federal,2271455.4377604173
20183,Capital Federal,2488658.3668993595
20184,Capital Federal,2682294.923688486
20191,Capital Federal,3285782.5486537768
20192,Capital Federal,3414587.3411301374
20193,Capital Federal,3632031.937016285
20194,Capital Federal,3823821.1567528048
20201,Capital Federal,4725756.159936981
20202,Capital Federal,5086586.265599132
20203,Capital Federal,5130453.895951845
20204,Capital Federal,5409202.119007437
20211,Capital Federal,5921083.713343124
20212,Capital Federal,6271401.636002131
20213,Capital Federal,7124451.251034066
20214,Capital Federal,7533352.704343651
20221,Capital Federal,9254306.844483605
20222,Capital Federal,10898747.028982397
20223,Capital Federal,12209505.119581982
20224,Capital Federal,10095743.310521051
20231,Capital Federal,11960484.484445788
20232,Capital Federal,13462146.962773204
20141,Catamarca,322512.95605187264
20142,Catamarca,360065.7493489227
20143,Catamarca,383098.743172867
20144,Catamarca,449143.1531585539
20151,Catamarca,545724.4909100923
20152,Catamarca,533310.1533321786
20153,Catamarca,593990.7561291126
20154,Catamarca,628817.260835107
20161,Catamarca,685570.1002192943
20162,Catamarca,759215.2527066431
20163,Catamarca,815789.7157302417
20164,Catamarca,885242.5525202147
20171,Catamarca,995095.1238563425
20172,Catamarca,1120682.376160204
20173,Catamarca,1457589.7181228534
20174,Catamarca,1431951.555177153
20181,Catamarca,1924881.7104433582
20182,Catamarca,2097119.396164612
20183,Catamarca,2261095.244268057
20184,Catamarca,2389912.4974553604
20191,Catamarca,2899081.742276528
20192,Catamarca,2970390.2346356693
20193,Catamarca,2980019.1722328467
20194,Catamarca,3925276.960669676
20201,Catamarca,5020991.532935113
20202,Catamarca,6499949.938248352
20203,Catamarca,6725395.712109852
20204,Catamarca,7385889.593861239
20211,Catamarca,7993260.398240175
20212,Catamarca,8920240.528111389
20213,Catamarca,10101587.991900893
20214,Catamarca,11196075.007591916
20221,Catamarca,14421917.102047209
20222,Catamarca,16779841.84309374
20223,Catamarca,19524440.315705426
20224,Catamarca,14110950.482899243
20231,Catamarca,15984124.773382632
20232,Catamarca,18372409.041964766
20141,Chaco,307599.3458876699
20142,Chaco,341064.38424322294
20143,Chaco,365330.93526761106
20144,Chaco,429816.7555524096
20151,Chaco,646523.2964697549
20152,Chaco,642322.0512298533
20153,Chaco,716883.4700664427
20154,Chaco,758357.3853499062
20161,Chaco,829357.5307262684
20162,Chaco,929390.6142374078
20163,Chaco,994188.122986501
20164,Chaco,1071922.1907137507
20171,Chaco,1238904.439183755
20172,Chaco,1398781.133033383
20173,Chaco,1501334.4386617776
20174,Chaco,1720721.6695503062
20181,Chaco,2020209.4005077665
20182,Chaco,2226208.5849897293
20183,Chaco,2474872.270298939
20184,Chaco,2697530.0343670724
20191,Chaco,3281329.6879928107
20192,Chaco,3523112.67819746
20193,Chaco,3861812.2878030757
20194,Chaco,4429674.268744028
20201,Chaco,5583808.47567678
20202,Chaco,6361181.906049576
20203,Chaco,6612577.453895102
20204,Chaco,7179918.874414522
20211,Chaco,7871463.329066634
20212,Chaco,8243122.792494383
20213,Chaco,9190119.133135358
20214,Chaco,9964136.384175135
20221,Chaco,12185128.739544515
20222,Chaco,13144329.94825573
20223,Chaco,14631700.270061791
20224,Chaco,12219882.725831889
20231,Chaco,13446457.837262787
20232,Chaco,14997429.219631575
20141,Chubut,379977.2694783625
20142,Chubut,418209.24297206267
20143,Chubut,436081.39007117046
20144,Chubut,490957.3291663602
20151,Chubut,566283.1029670567
20152,Chubut,531054.7582730864
20153,Chubut,585761.0922181063
20154,Chubut,612453.0714722925
20161,Chubut,661568.5868921581
20162,Chubut,728744.303603613
20163,Chubut,772204.531500155
20164,Chubut,833510.4393969773
20171,Chubut,958060.2529116673
20172,Chubut,1062396.2733697554
20173,Chubut,1436544.4345342598
20174,Chubut,1783741.9079824984
20181,Chubut,2184752.1296407366
20182,Chubut,2427344.849953973
20183,Chubut,2683271.776412042
20184,Chubut,2188954.6646251855
20191,Chubut,2682943.1960367197
20192,Chubut,3009620.7046435312
20193,Chubut,3180375.9153829273
20194,Chubut,3817166.581279709
20201,Chubut,4740646.29426892
20202,Chubut,5683665.383014665
20203,Chubut,6751846.476128097
20204,Chubut,7078317.0976088615
20211,Chubut,7812765.42782616
20212,Chubut,8535414.36465873
20213,Chubut,10715872.072799243
20214,Chubut,11592025.81441193
20221,Chubut,15113264.877274329
20222,Chubut,15498081.33405555
20223,Chubut,17470647.21913894
20224,Chubut,14533724.384253513
20231,Chubut,15348687.876672132
20232,Chubut,17326583.17115873
20141,Corrientes,313692.39829214715
20142,Corrientes,347842.927481315
20143,Corrientes,373384.8463546141
20144,Corrientes,438353.009407689
20151,Corrientes,664889.8161768647
20152,Corrientes,655035.1665129638
20153,Corrientes,732319.936448455
20154,Corrientes,768334.9371426458
20161,Corrientes,841078.7657598978
20162,Corrientes,941099.9618017047
20163,Corrientes,1011523.2741730829
20164,Corrientes,1091986.2201489415
20171,Corrientes,1267951.4854000888
20172,Corrientes,1430899.3704298893
20173,Corrientes,1525144.619800365
20174,Corrientes,1719426.4939286564
20181,Corrientes,2026064.1456305422
20182,Corrientes,2280211.596612061
20183,Corrientes,2485959.145882011
20184,Corrientes,2708915.4844752974
20191,Corrientes,3343428.308905429
20192,Corrientes,3728082.6360368053
20193,Corrientes,3925220.505487875
20194,Corrientes,4413286.475239523
20201,Corrientes,5462514.1647202
20202,Corrientes,6093217.804920068
20203,Corrientes,6291799.975877806
20204,Corrientes,6702477.591209378
